Year,GeoCode,Value
2002,0400000US39,0.0
2003,0400000US39,0.0
2004,0400000US39,0.0
2005,0400000US39,34.3
2006,0400000US39,33.7
2007,0400000US39,33.5
2008,0400000US39,34.6
2009,0400000US39,37.6
2010,0400000US39,36.2
2011,0400000US39,36.5
2012,0400000US39,36.1
2013,0400000US39,37.3
2014,0400000US39,38.7
2015,0400000US39,36.6
2016,0400000US39,38.1
2017,0400000US39,0.0
